Paper publication venue,Paper title,"Paper topic
","Methodologies used in the human study
","Experiment design use for the evaluation

","Scale interpretation

",Methodology used for the results,Test used for the statistical significance testing,Number of annotators used in the human study,"Subjects used in the evaluation 
",Criteria or questions used in the evaluation,Coefficent used to measuring Inter-Annotator Agreement,Inter-Annotator Agreement reported,"Inter-Annotator Agreement interpretation scale used
",Strategy to improve the Inter-Annotator Agreement
,Automatic label generation for news comment clusters,Label generation,Absolute judgment,"Likert : (5 points) 

Alternative name: Graphic rating scale (or Likert item or Likert-style)","Interval

No justification",Mean,-,4,No expert: fluent in English,"Q1 I can understand this label
 Q2: This label isa complete phrase
 Q3: This label accuratelyreflects the content of the comment cluster",Krippendorff's α ,"Q1: 0.423
Q2: 0.372
Q3:  0.699",-,-
,Improving Fluency in Narrative Text Generation With Grammatical Transformations and Probabilistic Parsing,Narrative Text Generation,Absolute judgment,"Likert : (5 points) 

Alternative name: Graphic rating scale (or Likert item or Likert-style)","Interval

No justification",Mean,-,-,No expert: crowdsourced workers,Overall quality,-,-,-,-
,Unsupervised Sentence Simplification Using Deep Semantics,Sentence Simplification,Absolute judgment,"Rating: (6 points)

Alternative name: Graphic rating scale (or Likert item or Likert-style) or  Numerical scale","Interval

No justification",Mean,"One-way ANOVA, post-hoc Tukey",18,No expert: either native speakers or proficient in English,"Adequacy, Fluency, Simplification ",-,-,-,-
,Enabling text readability awareness during the micro planning phase of NLG applications,Text readability of summaries generation,Relative judjment,"Rank items
Rank items",Ordinal,Counting ,χ2 ,"90
50","No expert: crowdsourced workers
No expert: students at the 5th grade (16), Freshmen college students (34)","Grade to which the summaries belong
Overall quality",-,-,-,-
,Selecting Domain-Specific Concepts for Question Generation With Lightly-Supervised Methods,Question Generation,Absolute judgment,"Rating (R2): (2 points)
Rating (R3): (3 points)

Alternative name: Graphic rating scale (or Likert item or Likert-style) ","Interval

No justification",Mean,-,2,"R2, R3: No expert: native English speakers","R2: Specificity, Syntactic, Semantic, Question Type, Importance
R3: Diversity, Overall quality","Cohen's k (k)
Percent Agreement (%)","Specificity: 0.18 (k), 0.77 (%)
Syntactic: 0.11 (k), 0.85 (%)
 Semantic: 0.18 (k), 0.79 (%)
 Question Type: 0.27 (k), 0.87 (%)
 Importance: 0.10 (k), 0.50 (%)
 Diversity: 0.80 (k), 0.91(%)
 Overall criterion: 0.51 (k), 0.82(%)",-,"Overall and Diversity scores, were penalized only when
the scores assigned by the two annotators differed
for more than 1"
,Statistical Natural Language Generation from Tabular Non-textual Data,Generation from Tabular Non-textual Data,Absolute judgment,"Rating: (10 points)

Alternative name: Graphic rating scale (or Likert item or Likert-style) or  Numerical scale","Interval (?)

No justification",Mean,-,5,No expert: students,"Clarity, Readability",-,-,-,-
,Collecting Reliable Human Judgements on Machine-Generated Language: The Case of the QG-STEC Data,Question Generation,Absolute judgment,"Rating (R2): Graphic scale (2 points) 
Rating (R3): Graphic scale  (3 points)
Rating (R4): Graphic scale (4 points) ",-,The experiment was used to study the Inter-Annotator Agreement,-,-,-,"R2: Question Type
R3: Ambiguity, Variety
R4: Relevance, Syntactic correctness",Krippendorff's α,"Relevance: 0.806
Question Type: 0.859
Correctness: 0.838
 Ambiguity: 0.688
Variety: 0.904",Krippendorff scale,Evaluation done by a set of judges wich iteratively and collaboratively improve the evaluation scheme.
,Ranking Automatically Generated Questions Using Common Human Queries,Question Generation,Absolute judgment,"Rating: (5 points)

Alternative name: Graphic rating scale (or Likert item or Likert-style) or  Numerical scale","Interval

No justification",Mean,-,3,No expert: native English speakers,"Semantic correctness, Question type correctness, Clarity of referential, Grammatically correct",-,-,-,-
,QGASP: a Framework for Question Generation Based on Different Levels of Linguistic Information,Question Generation,Absolute judgment,Choose a category (3 categories),Nominal,Percentage,-,2,-,Overall quality,Cohen's k,0.67,Landis and Koch scale (?),-
,Crowd-sourcing NLG Data: Pictures Elicit Better Data,Crowd-sourcing NLG Data evaluation,Absolute judgment,"Likert: (6 points)

Alternative name: Graphic rating scale (or Likert item or Likert-style)","Interval 

Justified: The authors wrote ""We mostly use parametric statistical
methods in our analysis. It has been debated
for over 50 years whether Likert-type measurement
scales should be analysed using parametric or non-parametric statistical methods (Carifio and
Perla, 2008). The use of parametric statistics, however,
was justified repeatedly by (Carifio and Perla,
2008), (Norman, 2010) and more recently by (Murray,
2013) as a “perfectly appropriate” (Carifio and
Perla, 2008) statistical method for Likert scales that
may be used by researchers “with no fear of coming
to the wrong conclusion” (Norman, 2010). We
therefore present and analyse mean averages (rather
than the mode) for the collected judgements.""","Mean, Standard Deviation",Two-way ANOVA,-,No expert: crowdsourced workers,"Informativeness, Naturalness, Phrasing",-,-,-,-
XCI 2017,A Simple Method for Clarifying Sentences with Coordination Ambiguities,Paraphrase generation,Relative judjment,Relative selection,Ordinal,Accuracy,-,5,No expert: native English speakers,Select the paraphrase that is closer in meaning to the original sentence,-,-,-,-
CC-NLG 2017,Constructing narrative using a generative model and continuous action policies,Narrative Text Generation,Absolute judgment,"Rating: (5 points)

Alternative name: Graphic rating scale (or Likert item or Likert-style) or  Numerical scale",-,"The papeer was a work in progress, so no result presented",-,20,-,"Coherence, Interest, Topic",-,-,-,-
INLG 2017,Improving the Naturalness and Expressivity of Language Generation for Spanish,Surface realisation,Absolute judgment,"Likert: (5 points)

Alternative name: Graphic rating scale (or Likert item or Likert-style) or  Numerical scale","Interval

No justification","Mode,  Mean",-,3,-,"Coherence, Grammatical errors, Post-editing",-,-,-,-
,"Exploring the Behavior of Classic REG Algorithms
in the Description of Characters in 3D Images",Generation of description of people in snapshots from a 3D environment,Absolute judgment,"Likert: (5 points)

Alternative name: Graphic rating scale (or Likert item or Likert-style) or Numerical scale","Interval

No justification",Mean,-,52,-,Overall quality,-,-,-,-
,Referring Expression Generation under Uncertainty: Algorithm and Evaluation Framework,Referring Expression Generation,Absolute judgment,Slider (from 0 to 100),Ordinal,Percentage,-,89,No expert: crowdsourced workers,How well the target object matched each of twenty attributes,-,-,-,-
,Natural Language Descriptions for Human Activities in Video Streams,"Generation of textual descriptions for human activities
in videos",Absolute judgment,"Rating: (5 points)

Alternative name: Graphic rating scale (or Likert item or Likert-style) or Numerical scale","Interval

No justification",Mean,-,10,No expert: crowdsourced workers ,"Grammar, Correctness, Relevance",-,-,-,-
,"PASS: A Dutch data-to-text system for soccer, targeted towards specific audiences",Soccer reports generation ,Absolute judgment,"Likert: (7 points)

Alternative name: Graphic rating scale (or Likert item or Likert-style) or Numerical scale","Interval

No justification","Mean, Standard Deviation",χ2 ,20,No expert: Dutch students,"Clarity, Fluency",-,-,-,-
,Evaluation of a Runyankore grammar engine for healthcare messages,Medical texts generation,"Absolute judgment (Aj)
Turing Test-like evaluation (T)","Aj: Choose a category (Cac): (4 categories)

T: Turing Test-like evaluation (TT): computer generated vs. human-authored","Cac, TT: Ordinal","Cac, TT: Mean",-,103,"Expert: linguists (3)
No expert: non-linguists (100)","Cac: Grammaticality and/or Understandability

TT: grade each sentence either as human authored
 or computer generated, based on its construction",-,-,-,-
,Towards Automatic Generation of Product Reviews from Aspect-Sentiment Scores,Review generation,Absolute judgment,"Likert: (5 points)

Alternative name: Graphic rating scale (or Likert item or Likert-style) ","Interval

No justification",Mean,-,3,"Expert: annotators have good knowledge in the domain 
of car reviews","Readability, Accuracy, Usefulness",-,-,-,-
,A model of suspense for narrative generation,Narrative Text Generation,Absolute judgment,Magnitude estimation,"Interval

No justification","The raw suspense ratings were
converted to normalised z-scores and then calculated the mean and standard
deviation

The z-scores were correlated with the predicted score with Pearson and Spearman correlation coefficients",-,46 (?),-,Suspense level,Fleiss' k,0.485,Landis and Koch scale,-
,"Personalized Questions, Answers and Grammars: Aiding the Search for Relevant Web Information","Generation of questions, answers and grammars from web documents",Absolute judgment,"Rating: (10 points)

Alternative name: Graphic rating scale (or Likert item or Likert-style) or Numerical scale","Interval

No justification",Mean,-,53,No expert: university students,Usefulnes,-,-,-,-
,Textually Summarising Incomplete Data,Data-To-Text generation,Relative judjment,Rank items,Ordinal,Percentage,-,20,-,Choose the most appropriate in describing the dataset,-,-,-,-
,Neural Response Generation for Customer Service based on Personality Traits,Response Generation,Absolute judgment,"Rating: (5 points zero-sum scale)

Alternative name: Graphic rating scale (or Likert item or Likert-style) or Numerical scale","Interval

No justification",Mean,-,5,No expert: crowdsourced workers,"Agreeableness, Conscientiousness",-,-,-,-
ATA 2018,Assisted Lexical Simplification for French Native Children with Reading Difficulties,Text simplification,Absolute judgment,Choose a category,Nominal,The scores were used in two metrics defined in the paper,-,2,-,Simplifications complexity and context adequacy,k not better specified,"0.625 (for the baseline model)
0.656 (ReSyf)",-,-
Proceedings of the Workshop on NLG for Human–Robot Interaction 2018,Learning from Limited Datasets: Implications for Natural Language Generation and Human-Robot Interaction,Dialogue generation (personal assistant),Absolute judgment,"Rating: (10 points)

Alternative name: Graphic rating scale (or Likert item or Likert-style) or Numerical scale","Interval

No justification","Mode, Median, Mean",-,18,No expert: undergraduate students,Overall how would you rate the experience?,-,-,-,-
2IS&NLG 2018,Automation and Optimisation of Humor Trait Generation in a Vocal Dialogue System,Trait Generation in a Vocal Dialogue System,Absolute judgment,"Choose a category (Cac): (2 categories)
Rating (R): (5 points)

Alternative name: Graphic rating scale (or Likert item or Likert-style) or Numerical scale","Cac: Nominal
R: Interval

No justification","Cac: Percentage
R: Mean",R: Two-tailed Welch’s t-test ,14,-,"Cac: Success: “Was the task successful?”

 R: System Understandability: “Was the system easy to understand?”
 R:  System Understanding: “Did the system understand you well?”
 R:  Humor Identification: “Do you think you identified when the system was making humor?”
 R:  Humor Impact: “Do you think humor had a favorable impact on your system perception?”
 R: Humor Quantity: “Are you satisfied with the amount of humor produced by the system?”",-,-,-,-
,Textual Entailment based Question Generation,Question Generation,Absolute judgment,"Choose a category (Cac 2): (2 categories)
Choose a category (Cac 3): (3 categories)","Cac 2, Cac 3: Nominal","Counting, Percentage",-,-,-,"Cac 3: Grammaticality of Questions
Cac 2: Entailment of Retrieved Sentences
Cac 2: Answer Existence of Questions",-,-,-,-
,Two-Step Training and Mixed Encoding-Decoding for Implementing a Generative Chatbot with a Small Dialogue Corpus,Chatbot,Absolute judgment,Rating: Graphic scale (3 points),"Interval

No justification",Mean,-,4,No expert: university students,"Grammaticality, Association with the question",-,-,-,-
,Supporting Content Design with an Eye Tracker: The Case of Weather-based Recommendations,Weather-based Recommendations,Absolute judgment,"Likert: (7 points)

Alternative name: Graphic rating scale (or Likert item or Likert-style) or Numerical scale","Interval

No justification","Mean, Standard Deviation ",-,15,No expert: postgraduate students and PhD candidates,"Coherence text-graphics, Readability, Understandability",-,-,-,-
,ChatEval: A Tool for the Systematic Evaluation of Chatbots,Platform for chatbots evaluation,Relative judjment,Rank items,-,The paper introduces a platform for chatbots evaluation and it is not reported the methodologies use for the results.,-,3,No expert: crowdsourced workers,Choose the better response,Cohen's k,"18 different experiments
max: 0.54
min: 0.2",-,-
CC-NLG 2018,Exploring Lexical-Semantic Knowledge in the Generation of Novel Riddles in Portuguese,Generation of Novel Riddles,Absolute judgment,"Likert: (5 points)

Alternative name: Graphic rating scale (or Likert item or Likert-style)","Interval

No justification","Mode, Median,  Mean",-,3,No expert: crowdsourced workers,"Interpretation, Surprise, Novelty, Humour potential",Percent Agreement,"Interpretation: 0.54
 Surprise: 0.59
 Novelty: 0.56
 Humour potential: 0.62",-,-
Proceedings of the First Workshop on Multilingual Surface Realisation 2018,The First Multilingual Surface Realisation Shared Task (SR’18): Overview and Evaluation Results,Surface Realisation Shared Task ,Absolute judgment,Sliders (from 0 to 100),"Interval

No justification","Mean, z-score",-,-,No expert: crowdsourced workers,"Readability, Meaning Similarity",-,-,-,-
INLG 2018,Syntactic Manipulation for Generating More Diverse and Interesting Texts,"Generation from meaning representations","Absolute judgment (Aj) 
Relative judjment (Rj)","Aj: Likert (L3): (3 points)
Aj: Likert (L5): (5 points) 

Rj: Rank items (R)

Alternative name: Graphic rating scale (or Likert item or Likert-style) or Numerical scale","L3, L5: Interval 
R: Ordinal

No justification","L3, L5: Mean
R: Ratio, Spearman correlation used between different criteria","L3, L5: t-test
R: Two-tailed binomial test","For each experiment the sentence israted by three different judges",No expert: crowdsourced workers,"L5: Quality
L3: Naturalness

R: Preference (which sentence do you prefer?)
R: Comprehensible (is the utterance easier to understand)
R: Conciseness (does the utterance convey the information clearly with as little text as possible) 
R: Elegance (is the utterance more nicely written, more  poetic, display higher variability) 
R: Professional (could this text be written by an experienced and well trained writer)",Fleiss' k,"Native speaking 

Preference: 0.587
Comprehensible: 0.555
Conciseness: 0.545
Elegance: 0.545
Professional: 0.529

Nonnative speaking 

Preference: 0.456
Comprehensible: 0.453
Conciseness: 0.312
Elegance: 0.497
Professional: 0.342",-,-
,"Automated learning of templates for data-to-text generation: comparing rule-based, statistical and neural methods",Data-to-text generation,Absolute judgment," Likert: (7 points) 

Alternative name: Graphic rating scale (or Likert item or Likert-style) or Numerical scale","Interval

No justification","Mean, Standard Deviation",Least Significant Difference test,24,No expert: native Dutch students ,"Fluency, Clarity, Correctness","Krippendorff's α (A)
Weighted k (k)","A: 0.39
k: 0.07",-,-
,End-to-End Content and Plan Selection for Data-to-Text Generation,Data-to-text generation,Absolute judgment,-,-,-,-,-,No expert: crowdsourced workers,"Quality, Naturalness",-,-,-,-
,SimpleNLG-ZH: a Linguistic Realisation Engine for Mandarin,Linguistic Realisation,Absolute judgment,Choose a category: (2 ctegories),Nominal,Counting,-,2,No expert: native speaker,Acceptable,k not better specified,0.77,-,-
,Learning to Flip the Bias of News Headlines,Generation of article headlines,Absolute judgment,Likert: Likert-style (4 points), Ordinal,Counting ,-,3,Expert: Experts in journalism editing,"Q2. Do you understand headline 2?
Q3. Do both headlines report on the same event?
Q4. Do the headlines have opposite bias?",Fleiss' k,"Q2: 0.61 
Q3: 0.51 
Q4: 0.29 ",-,-
,Stylistically User-specific Response Generation,Dialogue generation (user-specific Response Generation),Absolute judgment,"Likert (L): (3 points)
Rating (R): (5 points)

Alternative name: Graphic rating scale (or Likert item or Likert-style) or Numerical scale","L, R: Interval

No justification","L: Percentage, Mean
R: Mean","L: One-way ANOVA
R: Friedman Test",10,Expert: Crowdsourced workers,"L: Fluency or naturalness
 L: Relevance or adequacy
R: Style",-,-,-,-
,Explainable Autonomy: A Study of Explanation Styles for Building Clear Mental Models,"Interactive multimodal
 system for autonomous underwater vehicles ",Absolute judgment,"Likert (L_aggregate): Likert scale (7 points)
Likert (L):  Likert item (7 points)","L: Ordinal
L_aggregate: Intervall

For aggregate is accepted the interval interpretation","L: Mode, Median Item-by-item (“Worth it” and MM-Q1 and MM-Q2)

L_aggregate:  Mode, Median, Mean and Standard Deviation aggregate (US-Q1, US-Q2, US-Q3, US-Q4) and (MM-Q1, MM-Q2)","L: Mann-Whitney, Kruskal-Wallis",21,"Expert: participants were educated to undergraduate, masters degree or PhD level and all worked in the field of software for AUVs","US-Q1: The system chat responses were easy to understand
US-Q2: The system explanations were easy to understand
US-Q3: The system explanations were useful
US-Q4: The system explanations were as expected
“Worth it” question: It would be worth reading the explanations to understand how the system is behaving
MM-Q1: The system explanations in this video help me to increase my understanding of how AUVs work
MM-Q2: The system explanations in this video help me to increase my understanding of what the AUVs were doing",-,-,-,-
,Content Aware Source Code Change Description Generation,Source code descriptions generation,Absolute judgment,"Rating: (5 points)

Alternative name: Graphic rating scale (or Likert item or Likert-style) or Numerical scale","Interval

No justification",Mean,-,"Each example was shown to
3 different turkers",No expert: crowdsourced workers,Correlation between sentences,-,-,-,-
,Generating Market Comments Referring to External Resources,Market comments generation,Absolute judgment,"Choose a category (Cac 2): (2 ctegories)
Choose a category (Cac 4): (4 ctegories)","Cac 2, Cac 4: Nominal","Cac 2, Cac 4: Counting ",-,1,Expert: expert in finance,"Cac 2: Fluency 
Cac 4: Informativeness",-,-,-,-
,Automatic Opinion Question Generation,Question Generation,Absolute judgment,"Rating: (5 points)

Alternative name: Graphic rating scale (or Likert item or Likert-style) or Numerical scale","Interval

No justification",Mean,-,3,No expert: English-speaker students,"Syntactic correctness, Relevance",-,-,-,-
,Self-Learning Architecture for Natural Language Generation,"Conversational assistants (self-learning architecture for generating natural language templates)",Absolute judgment,"Rating: (5 points)

Alternative name: Graphic rating scale (or Likert item or Likert-style) or Numerical scale","Interval

No justification",Mean,-,21,-,"Grammatical correctness, Informativeness",-,-,-,-
,Towards making NLG a voice for interpretable Machine Learning,"Using NLG to humanise explanations from interpretable
 machine learning framework",Absolute judgment,"Likert (L): (5 points)
Choose a category (Cac 1): Select one
Choose a category (Cac more): Select all that apply

Alternative name: Graphic rating scale (or Likert item or Likert-style) ","L, Cac 1, Cac more: Intervall

No justification","L, Cac 1, Cac more: Mean, Standard Deviation ","L: Mann-Whitney
Cac 1, Cac more: χ2 ",39,-,"Cac 1: Most influential variable
Cac more: Positive variables, Negative Variables

L: Ease of reading, Decision is close,Understanding, Trust",-,-,-,-
,LSTM Hypertagging,"Surface realization (Hypertagging)",Relative judjment,Rank items,Ordinal,Counting,Sign test,2,Expert: linguists,"Adequacy, Fluency",Percent Agreement,"Fluency: 70% 
Adequacy: 73%",-,-
,Generating E-Commerce Product Titles and Predicting their Quality,E-Commerce product titles generation,Absolute judgment,Choose a category: (2 ctegories),Nominal,"Counting, Percentage",-,-,-,Usefulness: Quality problems (organized in a hierarchy) related to irrelevant information or  important missing information in the titles,-,-,-,-
,Designing and testing the messages produced by a virtual dietitian,Medical texts generation,Absolute judgment,"Likert: (5 points)

Alternative name: Graphic rating scale (or Likert item or Likert-style) or Numerical scale","Interval

No justification","Mean, Standard Deviation",-,20,No expert: native Italian speakers ,"4 questions concerning the app and the lexicon
9  questions concerning the blue and violet versions of the generator",-,-,-,-
,Generation of Company descriptions using concept-to-text and text-to-text deep models: dataset collection and systems evaluation,Company descriptions generation,Absolute judgment,"Likert: (5 points)

Alternative name: Graphic rating scale (or Likert item or Likert-style) or Numerical scale","Interval

No justification",Mean,-,19,No expert: authors' colleagues do not involved in the project (not native English speakers),"Q1: How do you judge the Information Coverageof the company summary
Q2: How do you judge the Non-Redundancy of Information in the company summary
Q3: How do you judge the Semantic Adequacy ofthe company summary? 
Q4: How do you judge the Grammatical Correctnessof the company summary?",-,-,-,-
,Automatically Generating Questions about Novel Metaphors in Literature,Question Generation,Absolute judgment,"Rating: (5 points)

Alternative name: Graphic rating scale (or Likert item or Likert-style) or Numerical scale","Interval

No justification",Mean,One-way ANOVA ,2,No expert: crowdsourced workers,"Naturalness, Clarity, Sensibility, Depth",Krippendorff's α,"Naturalness: 0.50 
 Clarity: 0.52
 Sensibility: 0.51
 Depth: 0.52",Landis and Koch scale (?),"Small disagreements were adjudicated by averaging, and disagreements greater than a difference of 2.0 (e.g., a 1 and a 4) were forwarded to a third-party, native English speaking adjudicator"
,A Master-Apprentice Approach to Automatic Creation of Culturally Satirical Movie Titles,Satirical movie titles generation,Absolute judgment,"Likert: (5 points)

Alternative name: Graphic rating scale (or Likert item or Likert-style) or Numerical scale","Interval

No justification",Mean,-,48,No expert: crowdsourced workers,"The title is humorous
The original title is recognizable
The humor in the title relates to Saudi Arabia
The title is critical towards Saudi Arabia
The joke in the title sounds familiar
The joke in the title is obvious
The title delivers a pun
The joke in the title is surprising
The joke of the title makes sense in the contextof the original movie",-,-,-,-
,"Neural Generation of Diverse Questions using Answer Focus, Contextual and Linguistic Features",Question Generation,Absolute judgment,"Rating: (5 points)

Alternative name: Graphic rating scale (or Likert item or Likert-style) or Numerical scale","Interval

No justification",Mean,-,3,No expert: crowdsourced workers,"Grammaticality, Correct Information,
 Answerability, Naturalness",Pearson's r (measured by comparing the arithmetic mean of the three Turker ratings to those of an expert annotator who is a native English speaking graduate student in Computational Linguistics.),"Grammaticality: 0:20
 Correct Information: 0:47
 Answerability: 0:38
 Naturalness: 0:32",-,-
,Findings of the E2E NLG Challenge,End-to-end (E2E) natural language generation,Relative judjment,Rank items,Ordinal,TrueSkill,-,-,No expert: crowdsourced workers,"Naturalness, Overall quality",-,-,-,-
,Handling Rare Items in Data-to-Text Generation,Data-to-Text Generation,Absolute judgment,Choose a category: (2 ctegories),Nominal,Percentage,-,1,-,Semantic Adequacy,-,-,-,-
,Comprehension Driven Document Planning in Natural Language Generation Systems,Document Planning,Absolute judgment,"Likert: (5 points)

Alternative name: Graphic rating scale (or Likert item or Likert-style) or Numerical scale","Interval

No justification",Mean,ANOVA,37,No expert: native English speakers (28),"S1 The description is easy to read and understand
S2 The description explains the suitability of the product for the task
S3 The description is presented in a sensible order
S4 Overall, this is a good description",-,-,-,-
,Adapting Neural Single-Document Summarization Model for Abstractive Multi-Document Summarization: A Pilot Study,Document Summarization,Absolute judgment,"Rating: (5 points)

Alternative name: Graphic rating scale (or Likert item or Likert-style) or Numerical scale","Interval

No justification",Mean,-,3,No expert: fluent in English,"Coherence, Non-Redundancy, Readability.",-,-,-,-
,Generating Summaries of Sets of Consumer Products: Learning from Experiments,Summarization of consumer products,Relative judjment,Rank items,Ordinal,Percentage,Friedman,18,No expert: graduate students,Rank the summaries,-,-,-,-
,Cyclegen: Cyclic consistency based product review generator from attributes,Review generator,Relative judjment,Choose a category: (2 ctegories) ,Nominal,Accuracy,-,-,-,Polarity (Positive(4-5) Negative(1-3)),-,-,-,-
,Char2char Generation with Reranking for the E2E NLG Challenge,End-to-end (E2E) natural language generation, Relative judgment,Rank items,Ordinal,TrueSkill,-,-,No expert: crowdsourced workers,"Naturalness, Overall quality",-,-,-,-
,E2E NLG Challenge Submission: Towards Controllable Generation of Diverse Natural Language,End-to-end (E2E) natural language generation,Relative judjment,Rank items,Ordinal,TrueSkill,-,-,No expert: crowdsourced workers,"Naturalness, Overall quality",-,-,-,-
,E2E NLG Challenge: Neural Models vs. Templates,End-to-end (E2E) natural language generation,Relative judjment,Rank items,Ordinal,TrueSkill,-,-,No expert: crowdsourced workers,"Naturalness, Overall quality",-,-,-,-
,The E2E NLG Challenge: A Tale of Two Systems,End-to-end (E2E) natural language generation,Relative judjment,Rank items,Ordinal,TrueSkill,-,-,No expert: crowdsourced workers,"Naturalness, Overall quality",-,-,-,-
